Identifier,TE_FC,TE_padj,RIBO_FC,RIBO_padj,RNA_FC,RNA_padj,RegMode,RegModeExplicit
1030,0.00822198168659116,0.997872484487299,0.960048375367475,0.00851313434770455,0.908503541480429,0.0155866618672798,Forwarded,"(Up)regulated, driven by mRNA transcription only"
10468,-0.342695092119678,0.901392196057591,-0.514228251705138,0.112075741839497,-0.185208242006076,0.290766681033941,No Change,No significant change detected in transcription or translation
10637,-1.83080618373363,NA,-0.00697347480528654,NA,-0.000240336830004925,NA,Undeterminable,One or more adjusted p-values are missing (NA)
130399,1.95395036986772,NA,0.0124409401649866,NA,-0.0366745667024785,0.772064473969935,Undeterminable,One or more adjusted p-values are missing (NA)
1387,-0.361110397059527,0.690219712330204,-0.18827882207824,0.369741979482917,0.0310588667806068,0.921572959167967,No Change,No significant change detected in transcription or translation
148738,0.83054197686429,NA,0.00427161655160188,NA,-0.00246781548742876,NA,Undeterminable,One or more adjusted p-values are missing (NA)
151449,-0.0118995469656543,NA,0.030336604958651,0.718346392432382,0.0432970320288641,0.639349451702056,Undeterminable,One or more adjusted p-values are missing (NA)
1634,-0.175192965496338,0.952441252211066,-0.0550048121847791,0.783226774983265,-0.0190421444602873,0.929105303909694,No Change,No significant change detected in transcription or translation
1874,0.205470676466753,0.703189208248155,0.161105092760551,0.48673217872231,0.0983827476278428,0.603347425675629,No Change,No significant change detected in transcription or translation
1875,-0.542744807271799,NA,-0.0976774595402874,0.618738583318551,0.0514081770347291,0.854712820625131,Undeterminable,One or more adjusted p-values are missing (NA)
2014,-0.296836212857284,0.79986211129672,-0.24892554429402,0.295801074077132,-0.106705926224649,0.664013633858336,No Change,No significant change detected in transcription or translation
2033,-0.206950984025548,0.816829609350442,-0.0781391634520499,0.741224736880777,0.0422532663491343,0.883772182799752,No Change,No significant change detected in transcription or translation
2200,-1.01198513546491,0.140849532760089,-0.1736318242715,0.414248238660264,0.516080408530659,0.0702994922293272,No Change,No significant change detected in transcription or translation
2331,-0.261938948110055,0.931501659987712,0.200394012587538,0.210641390077828,0.935699556401587,0.0326573472229463,Undetermined,Cannot be assigned to any Regulatory Mode
23592,0.0478089152052708,0.966186014117394,0.116915178961657,0.619533982639351,0.0861436743870103,0.735022656408625,No Change,No significant change detected in transcription or translation
25805,-0.442889527438015,0.767875311690958,-0.132318599582984,0.516276223893026,-0.00613572658861181,0.986907520612295,No Change,No significant change detected in transcription or translation
25942,-0.0661759179809537,0.940926520214669,0.0313217513974341,0.923296477158751,0.07556735913103,0.776797133651126,No Change,No significant change detected in transcription or translation
2615,-0.532491554256827,0.581028496691242,-0.401397459998596,0.120661816607969,-0.0232461555270907,0.940517517746593,No Change,No significant change detected in transcription or translation
26585,0.308119254134053,0.937914708811143,-1.70789235788038,0.0193564426004071,-2.29600968741489,6.192273737426E-05,Forwarded,"(Down)regulated, driven by mRNA transcription only"
26585,0.308119254134053,0.937914708811143,-1.70789235788038,0.0193564426004071,-2.29600968741489,6.192273737426E-05,Forwarded,"(Down)regulated, driven by mRNA transcription only"
26585,0.308119254134053,0.937914708811143,-1.70789235788038,0.0193564426004071,-2.29600968741489,6.192273737426E-05,Forwarded,"(Down)regulated, driven by mRNA transcription only"
268,-0.808063630933056,NA,-0.00276945444867661,NA,0.0867701615112331,0.644468023931607,Undeterminable,One or more adjusted p-values are missing (NA)
269,0.162342574256432,NA,NA,NA,-0.00632487521794288,NA,Undeterminable,One or more adjusted p-values are missing (NA)
285704,-0.196671230573163,0.931331488337992,-0.104300913220583,0.533383567256302,-0.122802541467878,0.570222925351525,No Change,No significant change detected in transcription or translation
3065,-0.284769509488934,0.602676175151518,-0.0989084412642487,0.664301116369248,0.0817923873162755,0.735734173200599,No Change,No significant change detected in transcription or translation
3066,0.0595312841840126,0.938527174663291,0.0767071535526889,0.757673509605288,0.0437354833586925,0.859759462189684,No Change,No significant change detected in transcription or translation
3077,0.264599398820704,0.860245929718641,-0.0287465748488985,0.917017397594907,-0.192650216665817,0.386807416889035,No Change,No significant change detected in transcription or translation
3397,0.153107453263726,0.936037494312951,-0.190434557588629,0.381479490263985,-0.348024290958928,0.168207648067054,No Change,No significant change detected in transcription or translation
3398,0.00886653887924603,0.997616494018872,-0.994709035502045,0.00910848181624991,-1.08311921794235,0.000356778866119683,Forwarded,"(Down)regulated, driven by mRNA transcription only"
3399,0.0168906148032388,0.996711925973132,-0.0939725251397741,0.648588245965704,-0.112749113062103,0.594573468461042,No Change,No significant change detected in transcription or translation
3399,0.0168906148032388,0.996711925973132,-0.0939725251397741,0.648588245965704,-0.112749113062103,0.594573468461042,No Change,No significant change detected in transcription or translation
3400,0.179877933579932,0.909815359435763,-0.0685325540667599,0.781402116709929,-0.153834535635465,0.488405246242497,No Change,No significant change detected in transcription or translation
3458,NA,NA,NA,NA,NA,NA,Undeterminable,One or more adjusted p-values are missing (NA)
353500,-2.07694435173591,NA,NA,NA,0.00843562135992114,NA,Undeterminable,One or more adjusted p-values are missing (NA)
3547,-0.558964411179549,NA,-0.00561897648937949,NA,-0.0064164876130927,NA,Undeterminable,One or more adjusted p-values are missing (NA)
3624,0.243791885652541,0.80862648529565,0.140486829173333,0.548631093933105,0.00751656378971297,0.984685182731566,No Change,No significant change detected in transcription or translation
3625,-1.73667978246044,0.668389768722418,-0.0908277744593381,0.0209810740773037,-0.0569923781588811,0.383151623414588,Undetermined,Cannot be assigned to any Regulatory Mode
3626,-0.491886904796206,NA,-0.00216656260805209,NA,0.000321381218154074,NA,Undeterminable,One or more adjusted p-values are missing (NA)
375387,0.644654640434483,NA,-0.013821853810295,0.793879928151378,-0.0184061134192059,0.679175191219098,Undeterminable,One or more adjusted p-values are missing (NA)
387,0.0300065264111158,0.9766709535042,0.0307735832327226,0.923107240780893,-0.000986582034299359,0.955929586396786,No Change,No significant change detected in transcription or translation
392255,-0.512846451877452,0.533268563163274,-0.575091455791732,0.0198053728555487,-0.0832841047353578,0.742215823910078,Undetermined,Cannot be assigned to any Regulatory Mode
4052,-0.875174059206066,0.306348777848312,0.224318203027907,0.322857228250238,1.07589094833179,0.00182828820897823,Undetermined,Cannot be assigned to any Regulatory Mode
4086,0.463385647961063,0.507374780154543,0.119389277866296,0.606712466500709,-0.096196500618226,0.695832170291528,No Change,No significant change detected in transcription or translation
